"Time","alarms-0","alarms-1","alarms-2","astackserver-555bb9f766-f42r7","calico-kube-controllers-545578d5-7dltd","calico-node-6k78j","calico-node-djbmx","calico-node-jcsnq","calico-node-p5dkp","calico-node-xlcnc","cas-0","cas-1","cat-fp-deployment-manager-58f4bcf67d-sckzj","cat-inventory-0","cat-inventory-1","cat-restconf-0","cat-restconf-1","cat-service-overlay-0","cat-service-overlay-1","cat-ui-service-0","cat-ui-service-1","coredns-99974df4f-2w2d2","coredns-99974df4f-spncs","coredns-99974df4f-xgj4l","cw-clms-f866748ff-nrjjp","cw-common-service-6bf45b76d4-9clrt","cw-data-retention-service-5bd6564f56-f64h4","cw-distributed-cache-0","cw-distributed-cache-1","cw-distributed-cache-2","cw-event-based-inventory-5d49dc75d9-594fh","cw-fault-alarm-forwarding-service-5f9c69489d-5m2bk","cw-fault-alarm-rest-service-cb55b84b4-8fhld","cw-fault-event-processing-service-6d7d4678f6-wvwrc","cw-ftp-0","cw-ftp-1","cw-ftp-2","cw-geo-service-6647fd9994-7thnj","cw-grouping-service-74d4fc9766-vk982","cw-icon-server-7954446597-wt2kh","cw-inventory-7d455b5fb6-7zszp","cw-inventory-collector-0","cw-inventory-collector-1","cw-ipsec-5jm64","cw-ipsec-d7vsw","cw-ipsec-lbdzn","cw-ipsec-lgdzm","cw-ipsec-twmv7","cw-proxy-0","cw-proxy-1","cw-proxy-2","cw-sftp-0","cw-sftp-1","cw-sftp-2","cw-swim-8cb7cdc7d-jlngw","cw-timeseries-db-0","cw-timeseries-db-1","cw-topo-visualization-0","cw-topo-visualization-1","cw-views-service-856798dd7b-4dvwz","dg-manager-0","dg-manager-1","docker-registry-66c8dbcb7f-crxrn","engine-worker-0","engine-worker-1","engine-worker-2","etcd-172-20-63-203-hybrid.cisco.com","etcd-172-20-63-204-hybrid.cisco.com","etcd-172-20-63-205-hybrid.cisco.com","grafana-core-5f48d9b968-5l48n","helios-0","helios-1","kube-apiserver-172-20-63-203-hybrid.cisco.com","kube-apiserver-172-20-63-204-hybrid.cisco.com","kube-apiserver-172-20-63-205-hybrid.cisco.com","kube-controller-manager-172-20-63-203-hybrid.cisco.com","kube-controller-manager-172-20-63-204-hybrid.cisco.com","kube-controller-manager-172-20-63-205-hybrid.cisco.com","kube-proxy-5fdhv","kube-proxy-66rsm","kube-proxy-slrdv","kube-proxy-sptpb","kube-proxy-w2zjc","kube-scheduler-172-20-63-203-hybrid.cisco.com","kube-scheduler-172-20-63-204-hybrid.cisco.com","kube-scheduler-172-20-63-205-hybrid.cisco.com","kube-state-metrics-68b4c8c6db-qck6g","magellan-0","magellan-1","magellan-2","nats-0","nats-1","nats-2","neo4j-topo-svc-0","neo4j-topo-svc-1","neo4j-topo-svc-2","node-directory-size-metrics-76d4f","node-directory-size-metrics-gg778","node-directory-size-metrics-krr4m","node-directory-size-metrics-p899s","node-directory-size-metrics-rpd27","node-orchestrator-7mpbj","node-orchestrator-t8kd6","node-orchestrator-t8zcn","node-orchestrator-tdnx8","node-orchestrator-zp4bd","nso-connector-0","nso-connector-1","oam-0","oam-1","optima-analytics-api-699586f5f9-hbwm6","optima-analytics-service-7d8dbf4555-xr2j6","optima-bwod-595fc657cc-vgs52","optima-bwopt-69d945d6c8-m6hqc","optima-engine-0","optima-engine-1","optima-lcm-6c5474fbb8-plblm","optima-pce-dispatcher-7648458f9c-cl7x6","optima-restconf-v2-69fcdcbc46-pwj64","optima-traffic-0","optima-traffic-1","optima-traffic-2","optima-ui-service-64f6749d78-m6wwt","prometheus-core-59665476c8-bgtfd","prometheus-node-exporter-9cqml","prometheus-node-exporter-dcggl","prometheus-node-exporter-dl6hr","prometheus-node-exporter-hq6ps","prometheus-node-exporter-vdfjz","robot-alerting-688d94c89f-5ffpx","robot-dlminvmgr-0","robot-dlminvmgr-1","robot-etcd-0","robot-etcd-1","robot-etcd-2","robot-kafka-0","robot-kafka-1","robot-kafka-2","robot-orch-8467cd77f6-kj45s","robot-orch-8467cd77f6-m9kbz","robot-postgres-0","robot-postgres-1","robot-postgres-2","robot-topo-svc-0","robot-topo-svc-1","robot-topo-svc-2","robot-ui-0","robot-ui-1","robot-ui-2","robot-zookeeper-0","robot-zookeeper-1","robot-zookeeper-2","tyk-0","tyk-1","tyk-2","workerdns-bgl2k","workerdns-t4qd9"
2022-07-23 14:43:00,68022272,120762368,130813952,190332928,38436864,124915712,124407808,128241664,125849600,129728512,1408008192,1560334336,253485056,3679391744,3642023936,2115874816,2196221952,308518912,294088704,346767360,345300992,33300480,17035264,29659136,426336256,151425024,1749602304,642621440,648294400,591101952,4579254272,1901473792,3626573824,6029725696,28557312,28983296,28889088,286121984,651251712,336031744,4803637248,6174121984,5743280128,30867456,41115648,32972800,39665664,30085120,48173056,47923200,54816768,31252480,31678464,32411648,3366313984,37416026112,23725174784,2693996544,2665947136,319176704,1476837376,1833246720,239419392,6100951040,5028843520,5280919552,244527104,55590912,282103808,74309632,266506240,281694208,720302080,283938816,672755712,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,96354304,273653760,244510720,244105216,296730624,235413504,237277184,4531789824,4372238336,5138276352,30801920,30253056,30552064,30793728,33411072,43077632,53936128,48934912,39616512,38424576,270770176,785694720,291041280,236556288,995532800,3187523584,2429779968,108736512,8808771584,4747722752,233046016,152485888,2049916928,131334144,141967360,144105472,6984941568,387330048,52383744,54587392,52248576,53190656,55562240,1576824832,907067392,495022080,231665664,220991488,217878528,7864229888,6985949184,9168556032,170401792,400437248,4470476800,4010287104,3968438272,3134271488,3064414208,5904015360,114049024,96346112,96743424,522170368,519802880,522698752,138584064,221675520,217956352,19144704,15085568
2022-07-23 14:44:00,69234688,120193024,130965504,192491520,38436864,125251584,124723200,128106496,127397888,129748992,1408061440,1560264704,253517824,3679211520,3641995264,2115883008,2196230144,308559872,294060032,346820608,345337856,33300480,17035264,29659136,426364928,151425024,1749594112,642699264,648245248,591142912,4578840576,1900965888,3626573824,6028890112,28557312,28983296,28897280,286154752,651251712,336072704,4803706880,6174126080,5743284224,30867456,41115648,32972800,39665664,30085120,48230400,48209920,54792192,31252480,31678464,32428032,3366322176,37420077056,23724875776,2694131712,2665902080,319176704,1477193728,1833549824,239300608,6101061632,5028675584,5280931840,244580352,55504896,281899008,74309632,266506240,281694208,720039936,283852800,671408128,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,96395264,273784832,244510720,244039680,296951808,235274240,238473216,4531859456,4372172800,5138231296,30867456,30244864,30580736,30851072,33406976,43077632,53936128,48934912,39616512,38424576,270778368,790409216,291078144,236556288,995553280,3187212288,2429874176,108843008,8808734720,4747821056,233103360,152281088,2050011136,131375104,139108352,141619200,6984876032,387371008,52383744,54587392,52248576,53264384,55562240,1576927232,909115392,484159488,231677952,220995584,245207040,7877390336,7073316864,9181208576,173838336,389947392,4471050240,3985600512,3968450560,3134435328,3064659968,5904396288,114065408,96346112,96768000,522231808,519864320,522784768,138506240,221769728,218017792,19144704,15085568
2022-07-23 14:45:00,69742592,121638912,131555328,190509056,38436864,125423616,124616704,128221184,126046208,129929216,1408208896,1560096768,253472768,3679211520,3642056704,2115772416,2196246528,308572160,294113280,346951680,345219072,33300480,17035264,29659136,426373120,151425024,1749610496,642564096,648294400,591118336,4578873344,1901019136,3626450944,6029033472,28565504,28983296,28913664,286208000,651112448,336060416,4803641344,6174195712,5742927872,30867456,41115648,32972800,39665664,30085120,48259072,48140288,54951936,31252480,31686656,32436224,3366326272,37409476608,23724769280,2694217728,2665836544,319258624,1477287936,1834553344,239263744,6100848640,5028716544,5280763904,244727808,55377920,282148864,74309632,266506240,281694208,720138240,283594752,670679040,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,96137216,273653760,244518912,244039680,296972288,235196416,238522368,4532072448,4372271104,5119606784,30867456,30261248,30580736,30851072,33406976,43077632,53936128,48934912,39616512,38424576,270778368,790482944,291012608,236564480,995430400,3187187712,2430046208,108756992,8808480768,4747911168,233017344,152104960,2049957888,131379200,142356480,142348288,6984736768,387096576,52383744,54587392,52248576,53264384,55570432,1576894464,915296256,492695552,231686144,220999680,245248000,7886503936,7005581312,9295392768,177254400,411594752,4475777024,3985428480,3968466944,3134320640,3064729600,5904171008,114155520,96387072,96874496,522096640,519786496,522924032,138661888,221892608,217878528,19144704,15085568
2022-07-23 14:46:00,66363392,118652928,130375680,189632512,38436864,125042688,124624896,128483328,126132224,130031616,1408049152,1560174592,253337600,3679219712,3641995264,2115805184,2196254720,308473856,293986304,346902528,345174016,33300480,17035264,29659136,426377216,151425024,1749590016,642723840,648335360,591077376,4578791424,1900965888,3626225664,6030045184,28573696,28983296,28913664,286228480,651087872,336097280,4803571712,6174318592,5743120384,30867456,41115648,32972800,39665664,30085120,48730112,48152576,55103488,31252480,31694848,32436224,3366277120,37416546304,23724941312,2694193152,2665885696,319176704,1477664768,1835368448,239595520,6100901888,5028728832,5280985088,244248576,55435264,282025984,74309632,263933952,281694208,720384000,283582464,671236096,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,96161792,271065088,244518912,244670464,297041920,235122688,238604288,4531773440,4372525056,5123850240,30867456,30261248,30580736,30851072,33406976,43077632,53936128,48934912,39616512,38424576,270778368,790474752,290967552,236564480,995442688,3187318784,2429976576,108806144,8808525824,4747759616,233140224,152477696,2049851392,131510272,142708736,142671872,6984531968,387219456,52391936,54800384,52256768,53272576,55570432,1576898560,916467712,492433408,231686144,219377664,245821440,8000430080,7127724032,9408909312,170000384,412233728,4471205888,3985424384,3968569344,3134386176,3065028608,5903945728,114155520,96428032,96899072,522108928,519725056,522625024,138375168,222048256,218198016,19144704,15085568
2022-07-23 14:47:00,68034560,119975936,130400256,189640704,38436864,125075456,124575744,128274432,126365696,142581760,1407909888,1560109056,253300736,3679252480,3641995264,2115821568,2196279296,308445184,293986304,347181056,345063424,33300480,16494592,29659136,426442752,151425024,1749561344,642727936,648396800,591097856,4578611200,1900969984,3626831872,6029922304,28581888,28983296,28913664,286253056,651087872,336076800,4803530752,6174167040,5742895104,30867456,41115648,32972800,39665664,30085120,48627712,48349184,54640640,31285248,31711232,32444416,3366416384,37419597824,23725043712,2694168576,2665897984,319176704,1477767168,1836412928,239878144,7357231104,6285127680,5281038336,244355072,55623680,282259456,74309632,263999488,281694208,720211968,283705344,670707712,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,96096256,272392192,244518912,244670464,297099264,235204608,239628288,4531916800,4372512768,5128540160,30867456,30261248,30580736,30851072,33406976,43077632,53936128,48934912,39616512,38424576,270782464,790204416,291004416,236572672,995463168,3187462144,2430078976,108969984,8808579072,4747812864,233377792,152678400,2049986560,131375104,142557184,139124736,6984486912,387170304,52391936,54800384,52260864,53272576,55570432,1576804352,906551296,493297664,231694336,219381760,236138496,7807401984,7035289600,9220435968,170004480,412299264,4474294272,3985424384,3968450560,3134464000,3064967168,5904044032,114176000,96280576,97026048,522182656,519741440,522661888,138342400,222097408,218243072,19144704,15085568
2022-07-23 14:48:00,69128192,125411328,131035136,190201856,38436864,125284352,124370944,128147456,126013440,130875392,1407938560,1560125440,253329408,3679268864,3641892864,2115821568,2196246528,308494336,294010880,347021312,345354240,33300480,16224256,29659136,426483712,151425024,1749585920,642572288,648372224,591130624,4578758656,1901383680,3626582016,6029389824,28581888,28983296,28917760,286306304,651120640,336072704,4803440640,6174187520,5742936064,30867456,41115648,32972800,39669760,30085120,48680960,48844800,54444032,31285248,31711232,32452608,3366363136,37438132224,23724974080,2694389760,2665902080,319176704,1477840896,1836400640,240295936,6100508672,5028888576,5280784384,244772864,55500800,282320896,74309632,264507392,281694208,718069760,283664384,668770304,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,96161792,271810560,244625408,241557504,297123840,235339776,239554560,4531896320,4372611072,5141667840,30867456,30261248,30580736,30851072,33406976,43077632,53936128,48934912,39616512,38424576,270798848,790036480,290975744,236589056,995631104,3187249152,2430435328,109015040,8808529920,4747886592,233222144,152969216,2049519616,131268608,143273984,141824000,6984482816,387538944,52396032,54800384,52260864,53276672,55570432,1576804352,908574720,495509504,231694336,217944064,218275840,7818874880,6951129088,9230028800,170065920,392884224,4471414784,3985354752,3968339968,3134197760,3065061376,5904396288,115605504,96284672,96919552,522420224,519639040,522444800,138252288,222195712,218214400,19144704,15085568
2022-07-23 14:49:00,70381568,126173184,133251072,187924480,38436864,125452288,124420096,127889408,125792256,131022848,1407881216,1560129536,253304832,3679268864,3641880576,2115862528,2196168704,308477952,294047744,347111424,345399296,33300480,16224256,29659136,426487808,151425024,1751044096,642486272,648441856,591212544,4578787328,1901056000,3626500096,6029045760,28581888,28991488,28925952,286363648,651120640,336060416,4803481600,6174035968,5743124480,30867456,41115648,32972800,39669760,30085120,48553984,48254976,54374400,31285248,31711232,32256000,3366383616,37445341184,23724761088,2694193152,2665828352,319254528,1475469312,1836158976,239529984,6100480000,5028782080,5280641024,244301824,55566336,282009600,74309632,264507392,281669632,718049280,283779072,668876800,23396352,18276352,108568576,37777408,34267136,32215040,35270656,32092160,36868096,26595328,43769856,95920128,272457728,244600832,242425856,297152512,235466752,239570944,4531851264,4372488192,5148422144,30867456,30240768,30580736,30859264,33402880,43077632,53936128,48934912,39616512,38424576,270798848,790118400,291004416,236638208,995667968,3187400704,2430939136,108892160,8808689664,4747964416,233095168,152805376,2049724416,131670016,141144064,142901248,6984536064,387387392,52396032,54800384,52260864,53284864,55570432,1578381312,910565376,495509504,231698432,217976832,218279936,7829188608,6962507776,9243082752,170090496,392925184,4473536512,3985248256,3968397312,3134386176,3064758272,5904109568,114343936,96288768,96927744,522362880,519688192,522321920,138452992,221802496,218492928,19144704,15085568
2022-07-23 14:50:00,69402624,119902208,128081920,191340544,38436864,125227008,124366848,127713280,125493248,130609152,1407946752,1560088576,253337600,3679277056,3641868288,2116001792,2196160512,308473856,293888000,346845184,345464832,33300480,16224256,29659136,426516480,151429120,1749487616,642531328,648245248,591343616,4578799616,1900974080,3626655744,6029479936,28590080,29007872,28925952,286384128,651087872,336093184,4803530752,6174031872,5744054272,30867456,41115648,32972800,39669760,30085120,48820224,48693248,54693888,31285248,31711232,32256000,3366383616,37444112384,23724929024,2694230016,2665738240,319205376,1475522560,1835982848,239198208,6100582400,5028773888,5280542720,244490240,55382016,281985024,74309632,264507392,281677824,718159872,283910144,668880896,23396352,18276352,108568576,37777408,34275328,32215040,35270656,32092160,36868096,26595328,43769856,96075776,273424384,244568064,242089984,298090496,234397696,238792704,4532068352,4372557824,5144473600,30867456,30240768,30580736,30859264,33402880,43077632,53936128,48934912,39616512,38424576,270798848,790093824,290955264,236720128,995696640,3187638272,2431234048,108920832,8808706048,4747923456,233103360,152428544,2049966080,131289088,140582912,142102528,6984458240,387350528,52396032,54800384,52260864,53211136,55570432,1576693760,919965696,493072384,231706624,217985024,246431744,7837732864,6969819136,9250988032,172351488,429457408,4477743104,3985219584,3968573440,3134816256,3064852480,5904797696,114360320,96288768,98516992,522252288,519708672,522952704,138104832,221843456,218746880,19144704,15085568
2022-07-23 14:51:00,70160384,116867072,129413120,188841984,38436864,125460480,124157952,128057344,125898752,129638400,1407963136,1559990272,253313024,3679293440,3641884672,2115919872,2196127744,308465664,293863424,346624000,345612288,33300480,16224256,29659136,426549248,151429120,1749471232,642424832,648335360,591310848,4579352576,1901359104,3626987520,6016614400,28590080,29007872,28925952,286371840,651120640,336080896,4803366912,6173929472,5743013888,30867456,41119744,32972800,39669760,30085120,48164864,48521216,54386688,31293440,31719424,32260096,3366383616,37453791232,23724892160,2694148096,2665730048,319193088,1477750784,1836044288,239423488,6100676608,5028872192,5280579584,244641792,55484416,282042368,74309632,264507392,281653248,718053376,284045312,668852224,23396352,18276352,108568576,37777408,34275328,32215040,35270656,32092160,36868096,26595328,43769856,96296960,273571840,244535296,242188288,298110976,234401792,238870528,4531990528,4372316160,5143633920,30851072,30240768,30547968,30859264,33402880,43077632,53936128,48934912,39616512,38424576,270807040,790159360,291016704,236744704,995569664,3187621888,2431844352,108916736,8808407040,4747620352,233099264,152518656,2049662976,131465216,140451840,142794752,6984925184,387145728,52396032,54808576,52260864,53211136,55570432,1576755200,927338496,493371392,231706624,217767936,244051968,7844630528,6980804608,9280618496,173182976,429518848,4534730752,3985186816,3968716800,3134365696,3064610816,5903982592,114479104,98226176,96841728,521998336,519778304,522489856,138072064,221949952,218464256,19144704,15085568
2022-07-23 14:52:00,69881856,118661120,130195456,189898752,38436864,125276160,124088320,129011712,126341120,129896448,1408126976,1559990272,253378560,3679334400,3641901056,2115903488,2196103168,308338688,293838848,346726400,345726976,33300480,16224256,29659136,426573824,151429120,1749475328,642551808,648380416,591343616,4578672640,1901531136,3626663936,6030188544,28590080,29007872,28950528,286351360,651091968,336113664,4803366912,6173929472,5743136768,30867456,41119744,32972800,39669760,30085120,48291840,48623616,54542336,31301632,31719424,32260096,3366416384,37439225856,23725117440,2694209536,2665816064,319225856,1477861376,1836068864,238981120,6100758528,5028941824,5280309248,244420608,55562240,282021888,74338304,265170944,281669632,718180352,283885568,668839936,23396352,18276352,108568576,37777408,34275328,32215040,35270656,32092160,36868096,26595328,43769856,96485376,273612800,244633600,242851840,298176512,234459136,238555136,4531785728,4372623360,5141811200,30851072,30240768,30547968,30793728,33402880,43077632,53936128,48934912,39616512,38424576,270807040,790097920,290971648,236785664,995573760,3187953664,2432049152,108957696,8808456192,4747509760,233054208,152354816,2049794048,131354624,142602240,143437824,6984654848,387379200,52396032,54513664,52260864,53211136,55574528,1576771584,927522816,493363200,231772160,219095040,218238976,7860707328,6992338944,9278197760,173477888,393670656,4538212352,3985256448,3968733184,3134418944,3064774656,5904531456,114511872,96272384,96890880,522006528,519737344,522555392,138412032,221659136,218656768,19144704,15085568
